Date,Symbols,Close,High,Low,Open,Volume
2021-12-14,AAPL.US,174.33,177.74,172.21,175.25,139380382
2021-12-14,GOOGL,2878.14,2889.6,2824.295,2879.36,1922312
2021-12-14,FB,333.74,335.7,327.65,328.05,20461024
2021-12-14,PFE,55.54,55.95,54.316,54.77,48685674
2021-12-14,BNTX,276.77,277.8999,261.01,272.0,2172500
2021-12-14,MRNA,277.16,278.33,257.2005,264.295,6444908
2021-12-14,AMZN,3381.83,3389.98,3328.8,3351.0,2798764
2021-12-13,AAPL.US,175.74,182.13,175.53,181.115,153237019
2021-12-13,GOOGL,2916.53,2959.4,2910.35,2955.63,1353470
2021-12-13,FB,334.49,341.09,329.59,330.95,22948655
2021-12-13,PFE,55.2,55.73,53.44,53.44,54923236
2021-12-13,BNTX,278.22,287.0,264.2,267.1417,4028728
2021-12-13,MRNA,271.99,275.78,256.9711,257.4,10588651
2021-12-13,AMZN,3391.35,3442.0,3382.6,3440.0,3108450
2021-12-10,AAPL.US,179.45,179.63,174.69,175.205,115402731
2021-12-10,GOOGL,2960.03,2979.55,2934.075,2974.0,1223138
2021-12-10,FB,329.75,335.03,326.37,332.555,14527969
2021-12-10,PFE,52.78,52.85,51.11,51.2,26079361
2021-12-10,BNTX,257.68,271.56,252.89,268.72,5059625
2021-12-10,MRNA,257.06,261.966,233.51,235.405,17506624
2021-12-10,AMZN,3444.24,3518.54,3410.0,3508.34,3034488
2021-12-09,AAPL.US,174.56,176.75,173.92,174.91,108923739
2021-12-09,GOOGL,2952.77,2982.0,2942.3001,2951.82,1163486
2021-12-09,FB,329.82,336.13,328.0,329.54,16879168
2021-12-09,PFE,52.08,52.845,51.51,51.51,38325661
2021-12-09,BNTX,284.21,299.0,283.34,298.0595,1979838
2021-12-09,MRNA,272.21,285.71,271.33,285.19,5231820
2021-12-09,AMZN,3483.42,3539.39,3482.79,3515.0,2303091
2021-12-08,AAPL.US,175.08,175.96,170.7,172.125,116998901
2021-12-08,GOOGL,2963.73,2967.86,2928.12,2951.93,1213516
2021-12-08,FB,330.56,332.75,323.07,325.0,19937722
2021-12-08,PFE,51.4,53.08,51.03,52.75,37429199
2021-12-08,BNTX,291.94,312.96,287.23,308.65,3983328
2021-12-08,MRNA,283.4,288.28,272.91,282.38,7107664
2021-12-08,AMZN,3523.16,3543.6,3495.01,3523.01,2262683
2021-12-07,AAPL.US,171.18,171.58,168.34,169.08,120405352
2021-12-07,GOOGL,2945.39,2950.6234,2904.55,2911.93,1612015
2021-12-07,FB,322.81,326.54,321.0,321.57,18794047
2021-12-07,PFE,51.72,52.4999,50.4,51.25,41575442
2021-12-07,BNTX,302.69,302.69,284.54,287.72,3478218
2021-12-07,MRNA,282.35,287.77,263.07,268.14,10767102
2021-12-07,AMZN,3523.29,3549.99,3466.69,3492.0,3320536
2021-12-06,AAPL.US,165.32,167.8799,164.28,164.29,107496982
2021-12-06,GOOGL,2863.1,2877.05,2803.0,2860.81,1530905
2021-12-06,FB,317.87,320.1,306.34,307.99,21758340
2021-12-06,PFE,51.48,53.89,51.25,53.78,53723978
2021-12-06,BNTX,279.83,321.86,276.45,317.57,6780093
2021-12-06,MRNA,265.33,287.4799,256.5601,280.85,19844957
2021-12-06,AMZN,3427.37,3473.91,3338.69,3393.0,3443000
2021-12-03,AAPL.US,161.84,164.96,159.72,164.02,118023116
2021-12-03,GOOGL,2840.03,2888.0,2806.02,2873.62,2061508
2021-12-03,FB,306.84,313.75,299.5,313.73,27471010
2021-12-03,PFE,54.27,54.41,53.102,53.71,37574769
2021-12-03,BNTX,344.06,346.19,328.02,338.0,3325589
